Right Speed, Left Speed
50.02340253417732, 49.976597465822685
50.046807955290625, 49.953192044709546
50.070219508208, 49.929780491792926
50.093640431757656, 49.90635956824524
50.11707395498434, 49.88292604502273
50.1405232940266, 49.859476705988065
50.16399164869606, 49.83600835133113
50.18748219895434, 49.81251780109208
50.210998101512246, 49.789001898562226
50.23454248632198, 49.7654575137917
50.2581184528947, 49.741881547272
50.28172906696671, 49.71827093326977
50.30537735639348, 49.694622643932895
50.32906630781159, 49.67093369262826
50.35279886256763, 49.647201138013266
50.37657791278543, 49.623422087968315
50.40040629763607, 49.59959370332688
50.42428679892627, 49.57571320228717
50.448222137096124, 49.5517778644144
50.47221496688328, 49.527785034976574
50.49626787295662, 49.503732129310784
50.52038336534942, 49.47961663739026
50.54456387483429, 49.455436128449136
50.568811748207054, 49.43118825569889
50.593129243349225, 49.40687076126558
50.61751852426533, 49.38248148115285
50.6419816558429, 49.35801835048167
50.66652059866866, 49.33347940867433
50.69113720347083, 49.30886280501205
50.71583320560869, 49.28416680414552
50.7406102193331, 49.25938979183441
50.76546973188256, 49.234530280851054
50.79041309732496, 49.20958691713913
50.81544153068726, 49.18455848568365
50.84055610124011, 49.15944391722654
50.86575772614468, 49.13424229461974
50.89104716392557, 49.10895285935231
50.91642500736648, 49.083575018654805
50.94189167687377, 49.058108352135555
50.9674474131337, 49.03255261912419
50.99309226990587, 49.00690776587643
51.018826106726195, 48.98117393287349
51.044648581330165, 48.95535146239657
51.07055914192523, 48.929440906256566
51.096557019545564, 48.903443033437355
51.122641220103034, 48.87735883804581
51.14881051636718, 48.85118954733263
51.1750634400619, 48.82493662959358
51.201398273487904, 48.79860180254834
51.22781304150433, 48.77218704135971
51.25430550313118, 48.745694587028865
51.28087314344016, 48.71912695450653
51.307513165053095, 48.69248694119397
51.334222479953695, 48.665777635129956
51.36099770133308, 48.63900242314766
51.387835135071995, 48.612164999389734
51.414730772034005, 48.58526937301724
51.44168027965815, 48.55831987661558
51.46867899429598, 48.531321173857854
51.49572191336412, 48.504278267352454
51.522803687920266, 48.477196506066676
51.54991861525622, 48.45008159273369
51.57706063193329, 48.42293959081708
51.60422330692101, 48.395776931372055
51.63139983546901, 48.36860041917355
51.65858303278653, 48.34141723903635
51.6857653286269, 48.314234961230795
51.712938762221086, 48.28706154654894
51.74009497747216, 48.25990535111021
51.76722521925422, 48.232775130061924
51.79432032965717, 48.20568004133445
51.82137074543823, 48.17862964819038
51.8483664958785, 48.15163392136613
51.87529720169943, 48.12470324015769
51.902152074295735, 48.097848393184535
51.92891991647154, 48.07108057765648
51.95558912349861, 48.04441139831292
51.98214768576324, 48.01785286477629
52.00858319176257, 47.99141738855676
52.03488283279213, 47.96511777836339
52.061033408453355, 47.93896723459614
52.087021333282856, 47.9129793427172
52.11283264496251, 47.88716806504112
52.138453013320174, 47.86154773173173
52.1638677511388, 47.83613302999587
52.18906182583612, 47.81093899240126
52.2140198730967, 47.78598098324517
52.23872621132872, 47.7612746840974
52.263164858059355, 47.73683607740456
52.28731954761912, 47.7126814288059
52.311173750097396, 47.68882726817733
52.334710692523046, 47.665290368450954
52.35791338034941, 47.642087724129816
52.38076462198533, 47.61923652675678
52.40324705326936, 47.59675414044052
52.42534316475574, 47.5746580745692
52.44703532949429, 47.552965956030725
52.4683058328042, 47.53169549943904
52.48913690331679, 47.51086447609123
52.50951074517111, 47.49049068177217
52.5294095715832, 47.47059190318531
52.548815640039706, 47.451185882759155
52.56771128776574, 47.432290283179604
52.58607896901976, 47.41392265009534
52.603901293041176, 47.396100374170345
52.621161062749444, 47.37884065238519
52.63784131438556, 47.3621604483958
52.653925357626804, 47.346076452418934
52.66939681608045, 47.33060504073912
52.684239668462936, 47.31576223452956
52.69843828945774, 47.3015636589949
52.71197749124579, 47.28802450184123
52.72484256413205, 47.275159472649904
52.737019317577236, 47.26298276184643
52.74849412038865, 47.2515080005101
52.75925394034093, 47.240748220753716
52.76928638304927, 47.23071581685111
52.778579729754874, 47.22142250745201
52.78712297395286, 47.21287929895489
52.794905856924544, 47.205096449975095
52.80191890119324, 47.1980834378897
52.80815344288808, 47.19184892647425
52.81360166190638, 47.18640073574078
52.818256610087644, 47.18174581376452
52.82211223735951, 47.177890210538344
52.82516341538419, 47.174839054326725
52.82740595895043, 47.1725965302744
52.828836644394066, 47.17116586198592
52.82945322619208, 47.170549294932314
52.829254449447646, 47.17074808396605
52.82824006085923, 47.171762482352364
52.82641081580539, 47.17359173468465
52.82376848278048, 47.17623407244887
52.820315844951544, 47.17968671246687
52.81605669812026, 47.183945858934386
52.810995846283475, 47.18900670786066
52.80513909348723, 47.19486345521428
52.79849323323013, 47.20150930751964
52.79106603427904, 47.208936496041325
52.78286622402796, 47.21713629342466
52.77390346877454, 47.22609903341941
52.76418835120833, 47.23581413339079
52.7537323452315, 47.24627011949865
52.74254778833055, 47.257454654325365
52.73064785148607, 47.269354566965575
52.718046506492826, 47.281955885705614
52.704758491901316, 47.2952438720816
52.69079927597552, 47.309203057921074
52.67618501887337, 47.32381728316206
52.66093253240176, 47.339069736097386
52.642753776404284, 47.35724844919915
52.60160149431499, 47.39840061353292
52.54850768811461, 47.45149426921736
52.49662950958276, 47.50337230822643
52.44609462124192, 47.553907067648254
52.39687622690309, 47.603125342845956
52.34894719428524, 47.651054265344555
52.30228016503698, 47.69772119279061
52.25684765412648, 47.74315360956809
52.21262213933487, 47.78737903730062
52.16957614126725, 47.83042495483037
52.12768229509019, 47.87231872648083
52.08691341426634, 47.913087538325705
52.047242547013454, 47.952758341711196
